"pers_id","nombre","pergoomet_citations","pergoomet_yearfirst","pergoomet_yearlast","pergoomet_years","pergoomet_citespaper","pergoomet_citesyear","pergoomet_hindex","pergoomet_papers","pergoomet_eindex","pergoomet_awcr","pergoomet_awindex","pergoomet_gindex","pergoomet_hcindex","uniorg_id","uniorg_nombre","tipuniorg_id"
3879,"Diego Alejandro Salinas Velandia",15,2022,2023,2,2.14,7.5,1,7,3.74,7.5,2.74,3,1,4227,"Investigación en frutas del trópico",12
3882,"Diana Marcela Monroy Cardenas",80,2004,2019,20,5.33,4.0,6,15,5.39,11.1,3.33,8,5,4293,"Centro de Investigación Tibaitatá",9
3882,"Diana Marcela Monroy Cardenas",80,2004,2019,20,5.33,4.0,6,15,5.39,11.1,3.33,8,5,4226,"Innovaciones tecnológicas para agregar valor a recursos agrícolas (ITAV)",12
3882,"Diana Marcela Monroy Cardenas",80,2004,2019,20,5.33,4.0,6,15,5.39,11.1,3.33,8,5,4279,"Red de Innovación de Frutales",13
3883,"Leidy Paola Delgadillo Duran",92,2015,2023,9,11.5,10.22,4,8,8.66,15.52,3.94,8,4,4229,"Mejoramiento genético vegetal, uso y aprovechamiento de la agrobiodiversidad MGVA",12
3883,"Leidy Paola Delgadillo Duran",92,2015,2023,9,11.5,10.22,4,8,8.66,15.52,3.94,8,4,4280,"Red de Innovación de Cacao",13
3883,"Leidy Paola Delgadillo Duran",92,2015,2023,9,11.5,10.22,4,8,8.66,15.52,3.94,8,4,4293,"Centro de Investigación Tibaitatá",9
3887,"Johan Fabian Bernal Morales",730,2012,2023,12,20.28,60.83,15,36,20.74,164.68,12.83,27,16,4293,"Centro de Investigación Tibaitatá",9
3887,"Johan Fabian Bernal Morales",730,2012,2023,12,20.28,60.83,15,36,20.74,164.68,12.83,27,16,4281,"Red de Innovación de Ganadería y Especies Menores",13
3887,"Johan Fabian Bernal Morales",730,2012,2023,12,20.28,60.83,15,36,20.74,164.68,12.83,27,16,4228,"Investigación y vigilancia integrada de la resistencia antimicrobiana",12
3888,"Diana Marcela Parra Forero",122,1997,2018,27,24.4,4.52,3,5,10.63,18.26,4.27,5,2,4293,"Centro de Investigación Tibaitatá",9
3888,"Diana Marcela Parra Forero",122,1997,2018,27,24.4,4.52,3,5,10.63,18.26,4.27,5,2,4281,"Red de Innovación de Ganadería y Especies Menores",13
3888,"Diana Marcela Parra Forero",122,1997,2018,27,24.4,4.52,3,5,10.63,18.26,4.27,5,2,4230,"Microbiología y Nutrición Animal del Trópico",12
3893,"Jhon Alexander Berdugo Cely",248,2015,2023,9,19.08,27.56,7,13,13.75,46.93,6.85,13,7,4275,"Red de Innovación de Raíces y Tubérculos",13
3893,"Jhon Alexander Berdugo Cely",248,2015,2023,9,19.08,27.56,7,13,13.75,46.93,6.85,13,7,4229,"Mejoramiento genético vegetal, uso y aprovechamiento de la agrobiodiversidad MGVA",12
3893,"Jhon Alexander Berdugo Cely",248,2015,2023,9,19.08,27.56,7,13,13.75,46.93,6.85,13,7,4293,"Centro de Investigación Tibaitatá",9
3894,"Felipe Andres Romero Perdomo",548,2014,2024,10,16.61,54.8,14,33,17.29,147.76,12.16,23,14,4305,"Sede Central",9
3894,"Felipe Andres Romero Perdomo",548,2014,2024,10,16.61,54.8,14,33,17.29,147.76,12.16,23,14,4276,"Red de Innovación de Cultivos Transitorios y Agroindustriales",13
3895,"Sandra Lorena Carmona Gutierrez",74,2014,2021,10,8.22,7.4,4,9,7.62,19.25,4.39,8,4,4229,"Mejoramiento genético vegetal, uso y aprovechamiento de la agrobiodiversidad MGVA",12
3895,"Sandra Lorena Carmona Gutierrez",74,2014,2021,10,8.22,7.4,4,9,7.62,19.25,4.39,8,4,4278,"Red de Innovación de Hortalizas y Plantas Aromáticas",13
3895,"Sandra Lorena Carmona Gutierrez",74,2014,2021,10,8.22,7.4,4,9,7.62,19.25,4.39,8,4,4293,"Centro de Investigación Tibaitatá",9
3896,"Johanna Paola Garnica Montaña",80,2015,2023,9,2.11,8.89,6,38,4.9,22.27,4.72,8,6,4229,"Mejoramiento genético vegetal, uso y aprovechamiento de la agrobiodiversidad MGVA",12
3896,"Johanna Paola Garnica Montaña",80,2015,2023,9,2.11,8.89,6,38,4.9,22.27,4.72,8,6,4275,"Red de Innovación de Raíces y Tubérculos",13
3896,"Johanna Paola Garnica Montaña",80,2015,2023,9,2.11,8.89,6,38,4.9,22.27,4.72,8,6,4290,"Centro de Investigación Nataima",9
3898,"Johan Andres Vergara Avila",0,2021,2021,3,0.0,0.0,0,1,0.0,0.0,0.0,0,0,4279,"Red de Innovación de Frutales",13
3898,"Johan Andres Vergara Avila",0,2021,2021,3,0.0,0.0,0,1,0.0,0.0,0.0,0,0,4223,"Grupo de análisis espacio-temporal y manejo de fenómenos fitosanitarios",12
3898,"Johan Andres Vergara Avila",0,2021,2021,3,0.0,0.0,0,1,0.0,0.0,0.0,0,0,4293,"Centro de Investigación Tibaitatá",9
3901,"Ginna Natalia Cruz Castiblanco",3,2016,2018,8,1.0,0.38,1,3,1.0,0.38,0.61,1,1,4279,"Red de Innovación de Frutales",13
3901,"Ginna Natalia Cruz Castiblanco",3,2016,2018,8,1.0,0.38,1,3,1.0,0.38,0.61,1,1,4223,"Grupo de análisis espacio-temporal y manejo de fenómenos fitosanitarios",12
3901,"Ginna Natalia Cruz Castiblanco",3,2016,2018,8,1.0,0.38,1,3,1.0,0.38,0.61,1,1,4293,"Centro de Investigación Tibaitatá",9
3903,"Ruy Edeymar Vargas  Diaz",57,2018,2023,6,2.38,9.5,3,24,6.24,21.43,4.63,7,4,4293,"Centro de Investigación Tibaitatá",9
3903,"Ruy Edeymar Vargas  Diaz",57,2018,2023,6,2.38,9.5,3,24,6.24,21.43,4.63,7,4,4223,"Grupo de análisis espacio-temporal y manejo de fenómenos fitosanitarios",12
3903,"Ruy Edeymar Vargas  Diaz",57,2018,2023,6,2.38,9.5,3,24,6.24,21.43,4.63,7,4,4275,"Red de Innovación de Raíces y Tubérculos",13
3904,"Millerlandy Montes Prado",8,2018,2023,6,0.62,1.33,2,13,1.73,1.63,1.28,2,2,4292,"Centro de Investigación Palmira",9
3904,"Millerlandy Montes Prado",8,2018,2023,6,0.62,1.33,2,13,1.73,1.63,1.28,2,2,4227,"Investigación en frutas del trópico",12
3904,"Millerlandy Montes Prado",8,2018,2023,6,0.62,1.33,2,13,1.73,1.63,1.28,2,2,4279,"Red de Innovación de Frutales",13
3908,"Juan Ricardo Zambrano Ortiz",8,2014,2023,10,0.62,0.8,2,13,1.41,2.8,1.67,2,2,4281,"Red de Innovación de Ganadería y Especies Menores",13
3908,"Juan Ricardo Zambrano Ortiz",8,2014,2023,10,0.62,0.8,2,13,1.41,2.8,1.67,2,2,4288,"Centro de Investigación La Suiza",9
